Arrival Rate (pps),Simulation Duration (s),Flow Direction,Packets Sent,Packets Received,Average Delay (s)
58700,1,AP->STA1,58700,968,0.490513
58800,1,AP->STA1,58800,968,0.490521
58900,1,AP->STA1,58900,968,0.490545
59000,1,AP->STA1,59001,968,0.490551
59100,1,AP->STA1,59102,968,0.490575
59200,1,AP->STA1,59200,968,0.490582
59300,1,AP->STA1,59302,968,0.490589
59400,1,AP->STA1,59401,968,0.490612
59500,1,AP->STA1,59500,968,0.490619
59600,1,AP->STA1,59599,968,0.490642
59700,1,AP->STA1,59702,968,0.49065
59800,1,AP->STA1,59802,968,0.490673
59900,1,AP->STA1,59902,968,0.49068
60000,1,AP->STA1,59999,968,0.490686
60100,1,AP->STA1,60100,968,0.490709
60200,1,AP->STA1,60202,968,0.490716
60300,1,AP->STA1,60300,968,0.490739
60400,1,AP->STA1,60402,968,0.490746
60500,1,AP->STA1,60500,968,0.490752
60600,1,AP->STA1,60599,968,0.490775
60700,1,AP->STA1,60702,968,0.490782
60800,1,AP->STA1,60802,968,0.490805
60900,1,AP->STA1,60902,968,0.490811
61000,1,AP->STA1,61002,968,0.490834
61100,1,AP->STA1,61099,968,0.490839
61200,1,AP->STA1,61200,968,0.490846
61300,1,AP->STA1,61301,968,0.490869
61400,1,AP->STA1,61399,968,0.490874
61500,1,AP->STA1,61501,968,0.490897
61600,1,AP->STA1,61600,968,0.490903
61700,1,AP->STA1,61702,968,0.49091
61800,1,AP->STA1,61801,968,0.490932
61900,1,AP->STA1,61901,968,0.490938
62000,1,AP->STA1,62001,968,0.49096
62100,1,AP->STA1,62101,968,0.490966
62200,1,AP->STA1,62201,968,0.490972
62300,1,AP->STA1,62302,968,0.490994
62400,1,AP->STA1,62399,968,0.490999
62500,1,AP->STA1,62500,968,0.491021
